City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,44.6,70,40,34.52,AR,1618590338
1,Nioro,13.35,-15.75,104.59,10,50,6.73,GM,1618590608
2,Albany,42.6001,-73.9662,42.01,76,100,1.01,US,1618590331
3,Kirovskiy,45.0917,133.5136,42.64,88,93,5.91,RU,1618590609
4,Leeuwarden,53.2014,5.8086,50.0,61,7,13.8,NL,1618590609
5,Tuatapere,-46.1333,167.6833,42.01,94,71,3.0,NZ,1618590609
6,Río Gallegos,-51.6226,-69.2181,51.8,30,0,36.82,AR,1618590610
7,Yangi Marg`ilon,40.4272,71.7189,64.4,45,6,2.3,UZ,1618590610
8,Marsberg,51.4617,8.8495,50.0,43,0,8.05,DE,1618590610
9,Launceston,-41.45,147.1667,39.99,93,2,8.05,AU,1618590611
10,Rikitea,-23.1203,-134.9692,77.22,71,100,12.64,PF,1618590611
11,Buala,-8.145,159.5921,79.59,84,76,3.47,SB,1618590611
12,Hermanus,-34.4187,19.2345,66.99,61,0,4.0,ZA,1618590611
13,Hithadhoo,-0.6,73.0833,83.08,61,16,5.66,MV,1618590612
14,Barrow,71.2906,-156.7887,-2.2,78,1,11.5,US,1618590612
15,Lebu,-37.6167,-73.65,59.85,67,52,12.24,CL,1618590612
16,Provideniya,64.3833,-173.3,25.02,99,98,7.02,RU,1618590613
17,East London,-33.0153,27.9116,60.8,67,20,8.05,ZA,1618590613
18,Cape Town,-33.9258,18.4232,69.8,56,0,6.91,ZA,1618590604
19,Fortuna,40.5982,-124.1573,41.0,100,75,4.21,US,1618590614
20,Dikson,73.5069,80.5464,-8.93,99,100,7.56,RU,1618590614
21,Bend,44.0582,-121.3153,50.0,40,1,8.05,US,1618590323
22,Dunedin,-45.8742,170.5036,48.0,75,30,18.99,NZ,1618590614
23,Hutchinson,38.0608,-97.9298,42.8,81,90,12.66,US,1618590360
24,Maralal,1.0968,36.698,67.77,58,99,14.32,KE,1618590615
25,Pevek,69.7008,170.3133,20.07,95,100,9.71,RU,1618590615
26,Novobiryusinskiy,56.9578,97.7076,33.1,97,100,8.25,RU,1618590615
27,Lodja,-3.4833,23.4333,75.94,77,94,3.36,CD,1618590616
28,Olinda,-8.0089,-34.8553,77.0,78,75,12.66,BR,1618590616
29,Abatskiy,56.2875,70.4555,36.05,64,3,8.75,RU,1618590616
30,Vaini,-21.2,-175.2,69.8,83,20,5.75,TO,1618590617
31,Palmer,42.1584,-72.3287,34.0,100,90,10.36,US,1618590535
32,Manokwari,-0.8667,134.0833,78.17,77,100,3.4,ID,1618590617
33,Mataura,-46.1927,168.8643,42.01,94,67,3.0,NZ,1618590618
34,Tuktoyaktuk,69.4541,-133.0374,12.2,92,90,4.61,CA,1618590618
35,Port Elizabeth,-33.918,25.5701,62.6,63,0,10.36,ZA,1618590618
36,Qaanaaq,77.484,-69.3632,10.67,62,3,7.96,GL,1618590619
37,Punta Arenas,-53.15,-70.9167,48.2,61,40,36.82,CL,1618590399
38,Houma,29.5958,-90.7195,69.01,88,90,9.22,US,1618590324
39,Takoradze,4.8845,-1.7554,84.76,70,82,13.35,GH,1618590619
40,Kapaa,22.0752,-159.319,64.4,94,1,6.91,US,1618590620
41,Hasaki,35.7333,140.8333,57.2,77,75,4.61,JP,1618590620
42,Egvekinot,66.3167,-179.1667,24.13,99,100,7.54,RU,1618590620
43,Leningradskiy,69.3833,178.4167,21.96,81,97,9.44,RU,1618590553
44,Faanui,-16.4833,-151.75,81.16,75,14,9.95,PF,1618590621
45,Kahului,20.8947,-156.47,64.0,94,1,6.91,US,1618590621
46,Jiayuguan City,39.8167,98.3,45.55,19,0,7.65,CN,1618590376
47,Jardim,-21.4803,-56.1381,97.2,25,17,5.59,BR,1618590621
48,Bluff,-46.6,168.3333,42.01,94,92,3.0,NZ,1618590622
49,Yei,4.095,30.6779,76.82,55,93,3.36,SS,1618590622
50,Ponta do Sol,32.6667,-17.1,66.99,63,20,16.11,PT,1618590622
51,Gillette,44.2911,-105.5022,30.99,93,90,12.66,US,1618590623
52,Lima Duarte,-21.8425,-43.7931,71.6,49,40,6.91,BR,1618590623
53,Charlestown,-32.95,151.6667,66.0,74,100,6.98,AU,1618590363
54,Evanston,42.0411,-87.6901,50.0,66,40,4.61,US,1618590408
55,Khatanga,71.9667,102.5,6.28,95,100,10.96,RU,1618590623
56,Agadez,19.75,10.25,95.88,5,2,11.14,NE,1618590624
57,Jamestown,42.097,-79.2353,37.99,93,90,12.66,US,1618590624
58,Huarmey,-10.0681,-78.1522,73.45,73,29,10.98,PE,1618590624
59,Busselton,-33.65,115.3333,55.99,92,27,1.01,AU,1618590625
60,Novopokrovka,49.8425,36.5477,46.4,81,75,13.42,UA,1618590625
61,Chokwé,-24.5333,32.9833,69.96,64,100,15.21,MZ,1618590625
62,Hamilton,39.1834,-84.5333,55.99,50,75,8.05,US,1618590626
63,Auki,-8.7676,160.7034,77.23,88,46,4.21,SB,1618590626
64,Shahreza,32.0339,51.8794,67.41,11,0,4.79,IR,1618590369
65,Antalaha,-14.9003,50.2788,77.5,84,56,1.48,MG,1618590626
66,Rundu,-17.9333,19.7667,71.08,32,2,3.87,NA,1618590627
67,Coari,-4.085,-63.1414,86.09,63,98,2.73,BR,1618590627
68,Tevriz,57.509,72.4042,27.52,72,26,5.64,RU,1618590627
69,Comodoro Rivadavia,-45.8667,-67.5,69.8,30,40,23.02,AR,1618590627
70,Gelemso,8.8167,40.5167,70.41,47,74,6.53,ET,1618590628
71,Alice Springs,-23.7,133.8833,61.0,62,0,6.91,AU,1618590628
72,Kailua,21.4022,-157.7394,66.2,88,1,3.44,US,1618590553
73,Visby,57.6409,18.296,45.0,56,0,23.02,SE,1618590628
74,Iquitos,-3.7481,-73.2472,87.8,66,75,5.75,PE,1618590499
75,Thompson,55.7435,-97.8558,42.8,26,75,4.61,CA,1618590346
76,Soyo,-6.1349,12.3689,86.0,74,20,6.91,AO,1618590629
77,Avarua,-21.2078,-159.775,75.2,88,8,3.44,CK,1618590629
78,Obihiro,42.9172,143.2044,45.21,83,100,4.94,JP,1618590629
79,Saint-Philippe,-21.3585,55.7679,78.8,78,0,3.44,RE,1618590630
80,Hilo,19.7297,-155.09,64.4,72,1,5.75,US,1618590605
81,Bredasdorp,-34.5322,20.0403,62.6,67,0,20.71,ZA,1618590630
82,Bambous Virieux,-20.3428,57.7575,80.01,94,40,2.3,MU,1618590630
83,Chontalpa,17.7,-93.5167,97.57,28,4,10.94,MX,1618590631
84,Cap Malheureux,-19.9842,57.6142,80.01,84,96,11.05,MU,1618590631
85,Bellevue,47.6104,-122.2007,61.0,50,1,3.51,US,1618590631
86,Sibolga,1.7427,98.7792,77.56,86,86,2.35,ID,1618590632
87,Hobart,-42.8794,147.3294,52.0,58,40,13.8,AU,1618590522
88,Geraldton,-28.7667,114.6,64.4,52,76,6.91,AU,1618590632
89,Kempsey,-31.0833,152.8333,62.01,96,99,3.0,AU,1618590632
90,Ahipara,-35.1667,173.1667,61.66,79,18,11.48,NZ,1618590633
91,Tasiilaq,65.6145,-37.6368,28.4,93,75,34.52,GL,1618590633
92,Atuona,-9.8,-139.0333,80.56,72,88,19.24,PF,1618590633
93,Castro,-24.7911,-50.0119,75.94,45,64,3.87,BR,1618590634
94,Longyearbyen,78.2186,15.6401,19.4,58,75,14.97,SJ,1618590634
95,Billings Metropolitan Area,45.7833,-108.5007,36.0,80,90,4.61,US,1618590613
96,Saint Paul Harbor,57.79,-152.4072,37.4,87,90,8.05,US,1618590634
97,Northam,51.0333,-4.2167,52.0,57,86,7.0,GB,1618590635
98,Zhigansk,66.7697,123.3711,28.83,96,100,29.48,RU,1618590635
99,Limulunga,-15.0969,23.1376,72.48,46,9,5.14,ZM,1618590635
100,Karlskrona,56.1616,15.5866,48.2,37,0,19.57,SE,1618590636
101,Arraial do Cabo,-22.9661,-42.0278,82.4,50,40,16.11,BR,1618590636
102,Karachi,24.9056,67.0822,82.4,74,3,12.66,PK,1618590360
103,Inongo,-1.95,18.2667,78.51,74,52,4.56,CD,1618590636
104,Portland,45.5234,-122.6762,61.0,54,1,3.27,US,1618590359
105,Rome,43.2128,-75.4557,44.6,70,90,4.54,US,1618590637
106,Bathsheba,13.2167,-59.5167,86.0,51,40,17.27,BB,1618590637
107,Saint-Joseph,-21.3667,55.6167,78.8,78,0,3.44,RE,1618590637
108,Butaritari,3.0707,172.7902,81.19,74,99,6.04,KI,1618590638
109,Inhambane,-23.865,35.3833,75.2,64,75,18.41,MZ,1618590638
110,Ihosy,-22.4,46.1167,69.82,48,61,12.37,MG,1618590638
111,Hong Kong,22.2855,114.1577,75.0,85,21,7.29,HK,1618590639
112,The Valley,18.217,-63.0578,84.2,83,75,10.36,AI,1618590372
113,Paraipaba,-3.4394,-39.1483,84.0,70,92,24.0,BR,1618590639
114,Chimoré,-16.9833,-65.1333,84.07,70,20,3.04,BO,1618590639
115,Diplo,24.4667,69.584,81.88,69,1,15.43,PK,1618590640
116,Sobolevo,54.4299,31.8996,49.48,81,77,8.32,RU,1618590640
117,New Norfolk,-42.7826,147.0587,53.01,70,100,5.99,AU,1618590640
118,Codrington,-38.2667,141.9667,52.3,67,68,5.61,AU,1618590640
119,Qeshm,26.9581,56.2719,82.4,65,100,6.91,IR,1618590641
120,Vila Franca do Campo,37.7167,-25.4333,64.4,82,20,10.36,PT,1618590641
121,Port Alfred,-33.5906,26.891,63.72,59,1,14.97,ZA,1618590642
122,Norman Wells,65.282,-126.8329,32.0,74,20,2.3,CA,1618590642
123,Cidreira,-30.1811,-50.2056,76.33,60,86,6.8,BR,1618590642
124,Emerald,-23.5333,148.1667,68.0,83,0,6.91,AU,1618590642
125,Hualmay,-11.0964,-77.6139,73.04,71,27,9.69,PE,1618590643
126,College,64.8569,-147.8028,32.0,86,20,0.47,US,1618590643
127,Clyde River,70.4692,-68.5914,12.2,85,1,42.57,CA,1618590643
128,Gmina Jędrzejów,50.6394,20.3045,41.0,99,100,5.99,PL,1618590478
129,Guerrero Negro,27.9769,-114.0611,62.04,66,87,16.51,MX,1618590377
130,Richards Bay,-28.783,32.0377,68.05,54,98,14.67,ZA,1618590644
131,Sitka,57.0531,-135.33,39.2,100,20,0.76,US,1618590644
132,Nanortalik,60.1432,-45.2371,22.06,51,36,47.45,GL,1618590645
133,Warri,5.5167,5.75,81.55,79,85,8.39,NG,1618590645
134,Shebunino,46.4339,141.8603,40.93,74,100,8.34,RU,1618590645
135,Dingle,10.9995,122.6711,76.91,85,72,4.61,PH,1618590645
136,Batagay,67.6333,134.6333,9.12,90,59,7.34,RU,1618590646
137,George Town,5.4112,100.3354,84.2,79,20,5.75,MY,1618590646
138,Chui,-33.6971,-53.4616,74.03,72,47,2.62,UY,1618590646
139,Armidale,-30.5167,151.65,52.0,84,100,1.01,AU,1618590647
140,Jalu,29.0331,21.5482,93.22,9,48,8.84,LY,1618590647
141,Cauquenes,-35.9671,-72.3225,75.04,35,65,4.74,CL,1618590647
142,Constitución,-35.3333,-72.4167,66.07,61,70,9.22,CL,1618590648
143,Terrace,54.5163,-128.6035,42.8,75,1,5.75,CA,1618590648
144,Fécamp,49.7579,0.3746,50.0,53,0,14.97,FR,1618590648
145,Pacific Grove,36.6177,-121.9166,54.0,71,90,4.99,US,1618590503
146,Venice,27.0998,-82.4543,80.01,73,1,9.22,US,1618590649
147,Lingao,19.9103,109.6859,75.97,88,82,7.45,CN,1618590649
148,Port Lincoln,-34.7333,135.8667,57.58,75,14,6.08,AU,1618590649
149,Gonaïves,19.45,-72.6833,87.21,47,25,7.87,HT,1618590650
150,Canutama,-6.5339,-64.3831,81.81,86,96,3.04,BR,1618590650
151,Jambi City,-1.6,103.6167,73.81,97,95,0.43,ID,1618590650
152,Bubaque,11.2833,-15.8333,77.81,72,3,17.2,GW,1618590651
